Generated_Name,DocumentID,Type,Year,Title,Submitted By,Category,Topic 0 Score,Topic 1 Score,Topic 2 Score,Topic 3 Score,Topic 4 Score,Topic 5 Score,Topic 6 Score,Topic 7 Score,Topic 8 Score,Topic 9 Score,Topic 10 Score,Topic 11 Score,Topic 12 Score,Topic 13 Score,Topic 14 Score,Topic 15 Score,Topic 16 Score,Topic 17 Score,Topic 18 Score,Topic 19 Score
ATCM23_ip019_rev1_e.docx,2336.0,ip,1999,"Three islands renamed in the Pointe-Géologie archipelago on the Adelie Coast: Le Mauguen Island, Fiorese Island and Lattanzi Island",France,Operation of the antarctic treaty system: General,0.1767344067260383,0.0016666666940641,0.0016666667138733,0.0016666666961403,0.0016666666756389,0.0016666666786435,0.168128975811455,0.5607675567584569,0.0016666666878183,0.0016666667048666,0.0016666667286308,0.0016666667276709,0.001666666685719,0.0677023933901643,0.0016666667348751,0.0016666667077128,0.0016666667291106,0.0016666667357867,0.0016666667169482,0.0016666666963855
ATCM23_ip026_e.docx,2337.0,ip,1999,Antarctic Shipping,COMNAP,Safety and Operations in antarctica,0.0013157894960224,0.0013157894886302,0.2550326727603491,0.0013157894915713,0.001315789493898,0.0013157894991416,0.0013157895001578,0.0013157894810537,0.0013157894890896,0.0013157895106564,0.0943078127894376,0.001315789521365,0.0380263682973283,0.3789151320650623,0.0013157895305785,0.0013157894951132,0.0013157894821489,0.2139811716058589,0.0013157895026146,0.0013157894999215
ATCM23_ip028_e.docx,2338.0,ip,1999,Education and training,COMNAP,Educational issues,0.0001644736868706,0.000164473686718,0.371923758002222,0.0001644736897542,0.0001644736903129,0.0001644736872269,0.0001644736884163,0.0001644736862459,0.000164473691613,0.0001644736882101,0.2439846217510063,0.0507320308712032,0.0001644736891368,0.0303282525734268,0.0001644736861863,0.0001644736888735,0.1229386742963041,0.1777900308683984,0.0001644736883605,0.0001644736895134
ATCM23_ip031_e.docx,2339.0,ip,1999,Inventory of Locations of Past Scientific Activities of Germany in Antarctica,Germany,Enviromental monitoring and reporting,0.1283392443176146,0.0002717391348536,0.0002717391363045,0.0002717391340302,0.0002717391354621,0.0002717391381494,0.0002717391358855,0.0002717391368715,0.0002717391341762,0.0399501226153001,0.129905313555057,0.140675431301374,0.1665030460342682,0.0002717391350541,0.0002717391348716,0.0002717391376509,0.1816112273124329,0.0002717391347459,0.096644710250934,0.1131100349849626
ATCM23_ip031_e.docx,2339.0,ip,1999,Inventory of Locations of Past Scientific Activities of Germany in Antarctica,Germany,Waste management and disposal,0.1283392443176146,0.0002717391348536,0.0002717391363045,0.0002717391340302,0.0002717391354621,0.0002717391381494,0.0002717391358855,0.0002717391368715,0.0002717391341762,0.0399501226153001,0.129905313555057,0.140675431301374,0.1665030460342682,0.0002717391350541,0.0002717391348716,0.0002717391376509,0.1816112273124329,0.0002717391347459,0.096644710250934,0.1131100349849626
ATCM23_ip033_e.docx,2340.0,ip,1999,Greenpeace 1998/99 Southern Ocean expedition Initial Environmental Evaluation,ASOC,Enviromental impact assessment(EIA): other EIA matters,0.026111485315747,2.908667941877555e-05,2.9086679145828824e-05,0.0365153644049883,2.908667909018168e-05,0.0273977473428272,2.908667898558517e-05,0.0072076626163833,0.1097941873619159,0.0699133147717475,2.908667887048948e-05,2.9086678723986792e-05,0.0682352202210056,0.1672139326431351,0.0618126053744904,0.1953623222611188,2.9086678870229728e-05,0.0748197987350118,0.0660457987981489,0.0893669534003744
ATCM23_ip036_e.docx,2341.0,ip,1999,Evaluación Medioambiental Inicial (EMI) Rehabilitación de las Instalaciones de la Estación Científica Antártica Teniente de Navío Ruperto Elechiribehety (ECARE),Uruguay,Enviromental impact assessment(EIA): other EIA matters,0.0004854369043403,0.0004854369003711,0.0270611627338821,0.0974869399838614,0.0978865305203707,0.0337193089315802,0.0004854368996596,0.2815359467959342,0.0004854369008463,0.0004854369053487,0.0004854369038011,0.0004854368985941,0.3376724479369844,0.0004854368996724,0.0004854369061123,0.1183269833705344,0.0004854369070247,0.0004854368979976,0.0004854368983743,0.0004854369047094
ATCM23_ip037_e.docx,2342.0,ip,1999,Environmental protection throught the law of International Liability,Germany,Liability,0.3018748839050516,3.623188480266277e-05,0.0323730137116433,3.623188495433803e-05,3.623188471792996e-05,0.0340766198845901,3.6231884698668686e-05,3.6231884667725055e-05,3.623188475507628e-05,0.1810623181253662,0.0225024407574692,3.623188497378245e-05,3.623188503604394e-05,0.0769515242515695,3.623188459369285e-05,0.0651852802291929,3.623188496275023e-05,3.623188475609932e-05,0.2855391365174963,3.623188470179623e-05
ATCM23_ip038_e.docx,2343.0,ip,1999,Factors Influencing Risk Analysis In Relation To Human Activities In Antarctica Based On German Experience With Logistics During German Antarctic Research,Germany,Liability,0.0001893939439383,0.0001893939430013,0.0001893939429314,0.0139646564174139,0.0381261020251951,0.0187138459645904,0.0001893939423896,0.0001893939427549,0.0250628656387875,0.2409977087690857,0.0001893939434659,0.0001893939416201,0.1856377258284361,0.1118904335880831,0.022134787729831,0.1138610310775792,0.0001893939426281,0.0001893939439429,0.0943372201404071,0.1335690773339176
ATCM23_ip040_e.docx,2344.0,ip,1999,Pending Issues after the entry into force of the Environmental Protocol,Italy,Enviromental protection general,0.4561648122551009,0.0248836891176933,0.005853417127885,5.506608126920207e-05,5.5066081066922887e-05,5.506608028936405e-05,5.5066080808564014e-05,5.506608009817166e-05,5.506608079908756e-05,0.072961718424271,0.0946329468539027,5.506608046312039e-05,5.506608051415647e-05,5.506608051404394e-05,5.506608052803449e-05,5.506608060573389e-05,0.0531038679273518,5.506608019638833e-05,0.2916836892459957,5.506608064640133e-05
ATCM23_ip040_e.docx,2344.0,ip,1999,Pending Issues after the entry into force of the Environmental Protocol,Italy,Operation of the antarctic treaty system: General,0.4561648122551009,0.0248836891176933,0.005853417127885,5.506608126920207e-05,5.5066081066922887e-05,5.506608028936405e-05,5.5066080808564014e-05,5.506608009817166e-05,5.506608079908756e-05,0.072961718424271,0.0946329468539027,5.506608046312039e-05,5.506608051415647e-05,5.506608051404394e-05,5.506608052803449e-05,5.506608060573389e-05,0.0531038679273518,5.506608019638833e-05,0.2916836892459957,5.506608064640133e-05
